Month,TransfersInMonth,BusinessDaysInMonth,IssuesInMonth
7/31/2007,867255,26.5,873516
8/31/2007,801252,22,872414
9/30/2007,811613,21,890435
10/31/2007,837920,27.5,851428
11/30/2007,801401,20.5,850625
12/31/2007,812752,22,784745
1/31/2008,783118,25.5,834803
2/29/2008,817332,21.5,849328
3/31/2008,811677,22,826523
4/30/2008,797000,27.5,822965
5/31/2008,808143,21,884723
6/30/2008,891948,23,873096
7/31/2008,823780,25.5,884741
8/31/2008,839457,22,877966
9/30/2008,842913,21,887753
10/31/2008,835163,27.5,841325
11/30/2008,801928,20.5,827464
12/31/2008,820526,24,779407
1/31/2009,765983,23.5,804146
2/28/2009,816136,21.5,840223
3/31/2009,801031,22,838275
4/30/2009,793550,27.5,812043
5/31/2009,783744,21,867610
6/30/2009,867675,24,838267
7/31/2009,797472,24,848140
8/31/2009,822077,22,830722
9/30/2009,799240,21,827868
10/31/2009,789952,27.5,789584
11/30/2009,778649,20.5,810164
12/31/2009,800215,25,770787
1/31/2010,730797,22.5,772891
2/28/2010,751537,21.5,808016
3/31/2010,790163,22,825555
4/30/2010,780467,27.5,808747
5/31/2010,785663,22,852275
6/30/2010,881460,24,861242
7/31/2010,833250,23.5,840947
8/31/2010,817674,22,848339
9/30/2010,794917,21,868176
10/31/2010,811274,27.5,811627
11/30/2010,770833,20.5,820254
12/31/2010,800052,25.5,778914
1/31/2011,784820,26.5,812343
2/28/2011,773179,21.5,827800
3/31/2011,800117,22,832989
4/30/2011,793275,27.5,845130
5/31/2011,813076,21,883790
6/30/2011,866390,20.5,881286
7/31/2011,849706,28,853442
8/31/2011,809450,22,869483
9/30/2011,822822,21,882715
10/31/2011,853560,27.5,842505
11/30/2011,797262,20.5,833755
12/31/2011,836347,21,788199
1/31/2012,814864,26.5,818809
2/29/2012,774393,22,847348
3/31/2012,804513,22,869606
4/30/2012,827810,27.5,867072
5/31/2012,823290,21,924636
6/30/2012,885717,22,919665
7/31/2012,896494,26.5,911985
8/31/2012,858819,22,919241
9/30/2012,886563,21,916885
10/31/2012,861263,27.5,883812
11/30/2012,836342,20.5,893888
12/31/2012,883236,21,871762
1/31/2013,899555,25.5,898243
2/28/2013,876650,22,896322
3/31/2013,843133,22,924182
4/30/2013,879435,27.5,913483
5/31/2013,853428,21,979186
6/30/2013,950003,22,977958
7/31/2013,943795,26.5,956841
8/31/2013,909042,22,963517
9/30/2013,906491,21,957373
10/31/2013,931951,27.5,916312
11/30/2013,875911,20.5,936596
12/31/2013,920100,21,972262
1/31/2014,964433,25.5,865098
2/28/2014,837955,22,917976
3/31/2014,856909,22,949485
4/30/2014,904267,27.5,944912
5/31/2014,872131,21,992663
6/30/2014,976986,23,983534
7/31/2014,942053,25.5,989992
8/31/2014,937240,22,986441
9/30/2014,936299,21,997457
10/31/2014,957070,27.5,948792
11/30/2014,901387,20.5,966902
12/31/2014,954527,23,977022
1/31/2015,956360,23.5,958134
2/28/2015,900781,22,947264
3/31/2015,875933,22,981564
4/30/2015,955560,27.5,966524
5/31/2015,893838,21,1053853
6/30/2015,1003616,24,1026649
7/31/2015,963848,24.5,1026064
8/31/2015,961831,22,1035764
9/30/2015,956732,21,1050853
10/31/2015,965195,27.5,998531
11/30/2015,953473,20.5,1023173
12/31/2015,967744,24,1025357
1/31/2016,998827,22.5,987051
2/29/2016,954858,22,1011636
3/31/2016,943432,22,1022201
4/30/2016,989685,27.5,1008830
5/31/2016,958739,22,1075022
6/30/2016,1020031,25,1111690
7/31/2016,1062011,28,1067078
8/31/2016,1003646,22,1085209
9/30/2016,1025005,21,1069346
10/31/2016,1011968,27.5,1028791
11/30/2016,968428,20.5,1028815
12/31/2016,989192,21,981980
1/31/2017,996091,26.5,1021160
2/28/2017,928621,22,1005903
3/31/2017,927348,22,1025539
4/30/2017,988990,27.5,1050488
5/31/2017,978562,21,1132481
6/30/2017,1047903,21.5,1143552